"Name","ID","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-deformed-seed219","ul2twic1","0","98","98","5","0.5260494947433472","0.9460528492927552","0.9376360774040222","0.9376360774040222","219","OneSideSDFPlain_OneSideSDFPlain","deformed"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-deformed-seed219","1b9wdrj5","0","98","98","0","0.4562760889530182","0.9418484568595886","0.9354904294013976","0.9354904294013976","219","OneSideSDFSquared_OneSideSDFSquared","deformed"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-deformed-seed219","z0m3dt37","0","98","98","98","0.16342933475971222","0.16342933475971222","0.9635610580444336","0.9635610580444336","219","BCE_SDFTEMPLATE_MSE","deformed"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-deformed-seed219","rar4281v","0","98","98","95","0.2965659201145172","0.9375576376914978","0.9620242118835448","0.9620242118835448","219","BCE_SDFTEMPLATE_OneSideSDFSQUARE","deformed"
"ex3-initial_decoupled-BCE_DSDF_MSE-deformed-seed219","7tp9nryf","0","98","98","98","0.16342933475971222","0.16342933475971222","0.9635610580444336","0.9635610580444336","219","BCE_DSDF_MSE","deformed"
"ex3-initial_decoupled-BCE_BlurredLoss-deformed-seed219","y485bcgn","0","98","98","42","0.3512958288192749","0.9607353806495668","0.9627436995506288","0.9627436995506288","219","BCE_BlurredLoss","deformed"
"ex3-initial_decoupled-BCE_CentroidLoss-deformed-seed219","qq1xi2qv","0","98","98","1","0.41199854016304016","0.931329905986786","0.9626926779747008","0.9626926779747008","219","BCE_CentroidLoss","deformed"
"ex3-initial_decoupled-BCE_BCE-deformed-seed219","isfmyv3u","0","98","98","27","0.24976639449596405","0.9487820267677308","0.9626926779747008","0.9626926779747008","219","BCE_BCE","deformed"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed219","urinbgyc","0","98","98","9","0.49348184466362","0.9398282170295716","0.9622435569763184","0.9622435569763184","219","BCE_OneSideSDFPlain","deformed"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-deformed-seed219","otltl2xh","0","98","98","11","0.5093539357185364","0.9229267835617064","0.962011218070984","0.962011218070984","219","BCE_OneSideSDFSquared","deformed"
"ex3-initial_decoupled-UNET-deformed-seed219","4w8ulpqd","0","98","","","","","","0.9635610580444336","219","UNET","deformed"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-affine-seed219","iyd4futy","1","99","99","0","0.8382905125617981","0.834871232509613","0.9655216336250304","0.9655216336250304","219","OneSideSDFPlain_OneSideSDFPlain","affine"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-affine-seed219","4l08psbw","6","99","99","0","0.788485050201416","0.7920246124267578","0.9585792422294616","0.9585792422294616","219","OneSideSDFSquared_OneSideSDFSquared","affine"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-affine-seed219","9pjy97y4","1","99","99","0","0.1947498917579651","0.19474759697914124","0.9744531512260436","0.9744531512260436","219","BCE_SDFTEMPLATE_MSE","affine"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-affine-seed219","nieo0d4u","1","99","99","1","0.8296915888786316","0.8296414613723755","0.9759240746498108","0.9759240746498108","219","BCE_SDFTEMPLATE_OneSideSDFSQUARE","affine"
"ex3-initial_decoupled-BCE_DSDF_MSE-affine-seed219","3en7iknk","1","99","99","99","0.16521327197551727","0.16521327197551727","0.9744531512260436","0.9744531512260436","219","BCE_DSDF_MSE","affine"
"ex3-initial_decoupled-BCE_BlurredLoss-affine-seed219","ca01dg3d","1","99","99","3","0.6699064373970032","0.6701621413230896","0.9762296676635742","0.9762296676635742","219","BCE_BlurredLoss","affine"
"ex3-initial_decoupled-BCE_CentroidLoss-affine-seed219","rvyt6s2c","1","99","99","0","0.7431654334068298","0.7430222630500793","0.975808322429657","0.975808322429657","219","BCE_CentroidLoss","affine"
"ex3-initial_decoupled-BCE_BCE-affine-seed219","dbk4dtkz","1","99","99","0","0.6582419872283936","0.6576231122016907","0.9747453927993774","0.9747453927993774","219","BCE_BCE","affine"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-affine-seed219","ndcl8djc","1","99","99","0","0.8354060053825378","0.834871232509613","0.9755277037620544","0.9755277037620544","219","BCE_OneSideSDFPlain","affine"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-affine-seed219","ffgl04er","1","99","99","1","0.7847024202346802","0.7845027446746826","0.9754509925842284","0.9754509925842284","219","BCE_OneSideSDFSquared","affine"
"ex3-initial_decoupled-UNET-affine-seed219","46h6jq9c","1","99","","","","","","0.9744531512260436","219","UNET","affine"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-deformed-seed1234","nlmazk5j","0","98","98","1","0.3638704121112823","0.94562429189682","0.9384137392044068","0.9384137392044068","1234","OneSideSDFPlain_OneSideSDFPlain","deformed"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-deformed-seed1234","y0liwqle","0","98","98","0","0.44398412108421326","0.9410210251808168","0.9399333596229552","0.9399333596229552","1234","OneSideSDFSquared_OneSideSDFSquared","deformed"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-deformed-seed1234","14v5zrb4","0","98","98","95","0.22263145446777344","0.9353592395782472","0.9625782370567322","0.9625782370567322","1234","BCE_SDFTEMPLATE_OneSideSDFSQUARE","deformed"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-deformed-seed1234","cw0o99a6","0","98","98","98","0.16342933475971222","0.16342933475971222","0.9634684920310974","0.9634684920310974","1234","BCE_SDFTEMPLATE_MSE","deformed"
"ex3-initial_decoupled-BCE_DSDF_MSE-deformed-seed1234","6h2544xi","0","98","98","98","0.16342933475971222","0.16342933475971222","0.9634684920310974","0.9634684920310974","1234","BCE_DSDF_MSE","deformed"
"ex3-initial_decoupled-BCE_BlurredLoss-deformed-seed1234","pu4fst28","0","98","98","27","0.3283310830593109","0.9599870443344116","0.9629026055336","0.9629026055336","1234","BCE_BlurredLoss","deformed"
"ex3-initial_decoupled-BCE_CentroidLoss-deformed-seed1234","tf07chu0","0","98","98","2","0.4149824380874634","0.938256859779358","0.962877094745636","0.962877094745636","1234","BCE_CentroidLoss","deformed"
"ex3-initial_decoupled-BCE_BCE-deformed-seed1234","ynuwrxoy","0","98","98","56","0.40654802322387695","0.9043598771095276","0.9622358083724976","0.9622358083724976","1234","BCE_BCE","deformed"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed1234","e7zybzcp","0","98","98","0","0.19351203739643097","0.9472478032112122","0.9623507857322692","0.9623507857322692","1234","BCE_OneSideSDFPlain","deformed"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-deformed-seed1234","ba08vl80","0","98","98","0","0.4224470555782318","0.945318877696991","0.9632052779197692","0.9632052779197692","1234","BCE_OneSideSDFSquared","deformed"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-affine-seed1234","u2ly9hy8","1","99","99","0","0.7387676239013672","0.7414764165878296","0.9664506316184998","0.9664506316184998","1234","OneSideSDFPlain_OneSideSDFPlain","affine"
"ex3-initial_decoupled-UNET-deformed-seed1234","iy33jzo7","0","98","","","","","","0.9634684920310974","1234","UNET","deformed"
