"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-affine-seed42","2504","2026-08-05T08:17:15.000Z","0","99","99","0","0.8525253534317017","0.8536039590835571","0.9636269211769104","0.9636269211769104","42","OneSideSDFSquared_OneSideSDFSquared","affine","99","0","0","0","99","0","0","0","bm949tf5","","scipy","no_gt","always_gt","","true","","123","123"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-affine-seed42","1782","2026-08-05T08:16:23.000Z","0","99","99","0","0.8309678435325623","0.8309897184371948","0.9740611910820008","0.9740611910820008","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","affine","99","0","0","0","99","0","0","0","t1bzrowr","","scipy","no_gt","always_gt","","true","","83","83"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-affine-seed42","1481","2026-08-05T07:52:03.000Z","0","99","99","0","0.7281171083450317","0.729210376739502","0.9740517139434814","0.9740517139434814","42","BCE_OneSideSDFPlain","affine","99","0","0","0","99","0","0","0","siisu9sx","","scipy","no_gt","always_gt","","true","","71","71"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-affine-seed42","1469","2026-08-05T07:52:00.000Z","0","99","99","0","0.8135201334953308","0.8134946823120117","0.9740517139434814","0.9740517139434814","42","BCE_OneSideSDFSquared","affine","99","0","0","0","99","0","0","0","ikhw7f0k","","scipy","no_gt","always_gt","","true","","71","71"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-affine-seed42","1145","2026-08-05T08:17:38.000Z","1","99","99","2","0.7557394504547119","0.7568990588188171","0.9647650122642516","0.9647650122642516","42","OneSideSDFPlain_OneSideSDFPlain","affine","99","2","0.020202020183205605","0.3333333432674408","99","1","0.010101010091602802","0.3333333432674408","6i6cqsxd","","scipy","no_gt","always_gt","","true","","54","54"
"ex3-initial_decoupled-BCE_DSDF_MSE-affine-seed42","1062","2026-08-05T08:06:37.000Z","0","99","99","0","0.6899580359458923","0.6893125772476196","0.973745584487915","0.973745584487915","42","BCE_DSDF_MSE","affine","99","0","0","0","99","0","0","0","vlk2uu5o","","scipy","no_gt","always_gt","","true","","47","47"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-affine-seed42","855","2026-08-05T08:06:50.000Z","0","99","99","0","0.2825511693954468","0.28255125880241394","0.973907709121704","0.973907709121704","42","BCE_SDFTEMPLATE_MSE","affine","99","0","0","0","99","0","0","0","agpjyk7f","","scipy","no_gt","always_gt","","true","","39","39"
"ex3-initial_decoupled-BCE_BCE-affine-seed42","840","2026-08-05T07:52:03.000Z","0","99","99","1","0.6239749789237976","0.6245797872543335","0.9738786220550536","0.9738786220550536","42","BCE_BCE","affine","99","1","0.010101010091602802","0","99","0","0","0","3vzr0gc0","","scipy","no_gt","always_gt","","true","","40","40"
"ex3-initial_decoupled-BCE_CentroidLoss-affine-seed42","830","2026-08-05T07:52:04.000Z","0","99","99","0","0.7450166940689087","0.7438766956329346","0.973907709121704","0.973907709121704","42","BCE_CentroidLoss","affine","99","0","0","0","99","0","0","0","mq0sjjwf","","scipy","no_gt","always_gt","","true","","39","39"
"ex3-initial_decoupled-BCE_BlurredLoss-affine-seed42","830","2026-08-05T08:01:33.000Z","0","99","99","3","0.6727189421653748","0.673025369644165","0.973907709121704","0.973907709121704","42","BCE_BlurredLoss","affine","99","3","0.03030303120613098","0","99","0","0","0","r2y017xz","","scipy","no_gt","always_gt","","true","","39","39"
"ex3-initial_decoupled-UNET-affine-seed42","521","2026-08-05T07:51:56.000Z","0","99","","","","","","0.973907709121704","42","UNET","affine","","","","","","","","","2z0s6niu","","scipy","no_gt","always_gt","","true","","","39"
