"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-BCE_CentroidLoss-deformed-seed42","2979","2026-08-05T08:37:28.000Z","0","98","98","0","0.6012497544288635","0.9479495286941528","0.9621624946594238","0.9621624946594238","42","BCE_CentroidLoss","deformed","98","34","0.3469387888908386","1","98","0","0","0","hqrr756o","","scipy","no_gt","always_gt","","true","","99","99"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-deformed-seed42","2170","2026-08-05T08:59:38.000Z","0","98","98","0","0.6454766988754272","0.9221916794776917","0.931526243686676","0.931526243686676","42","OneSideSDFSquared_OneSideSDFSquared","deformed","98","0","0","0","98","0","0","0","gq1ek102","","scipy","no_gt","always_gt","","true","","71","71"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-deformed-seed42","2163","2026-08-05T08:56:46.000Z","0","98","98","98","0.6069687604904175","0.8328747153282166","0.9623075723648072","0.9623075723648072","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","deformed","98","97","0.9897959232330322","1","98","0","0","0","l6yscoc5","","scipy","no_gt","always_gt","","true","","69","69"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-deformed-seed42","2011","2026-08-05T08:54:40.000Z","0","98","98","2","0.5359362959861755","0.8854931592941284","0.9607850909233092","0.9607850909233092","42","BCE_SDFTEMPLATE_MSE","deformed","98","0","0","0","98","0","0","0","75sc2bt1","","scipy","no_gt","always_gt","","true","","65","65"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-deformed-seed42","1839","2026-08-05T08:25:15.000Z","0","98","98","1","0.5416010022163391","0.9316144585609436","0.9619285464286804","0.9619285464286804","42","BCE_OneSideSDFSquared","deformed","98","0","0","0","98","0","0","0","3g09yktd","","scipy","no_gt","always_gt","","true","","60","60"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-deformed-seed42","1811","2026-08-05T09:05:28.000Z","0","98","98","70","0.5146641731262207","0.8927531242370605","0.9386377334594728","0.9386377334594728","42","OneSideSDFPlain_OneSideSDFPlain","deformed","98","41","0.4183673560619354","0","98","0","0","0","ff2nohpw","","scipy","no_gt","always_gt","","true","","59","59"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed42","1718","2026-08-05T08:25:15.000Z","0","98","98","3","0.4911644458770752","0.935149610042572","0.9611091017723083","0.9611091017723083","42","BCE_OneSideSDFPlain","deformed","98","0","0","0","98","0","0","0","bmnp6t9v","","scipy","no_gt","always_gt","","true","","56","56"
"ex3-initial_decoupled-BCE_BlurredLoss-deformed-seed42","1356","2026-08-05T08:46:59.000Z","0","98","98","24","0.486745685338974","0.9471873044967652","0.9616639018058776","0.9616639018058776","42","BCE_BlurredLoss","deformed","98","93","0.9489796161651612","1","98","0","0","0","h7cwxz3s","","scipy","no_gt","always_gt","","true","","44","44"
"ex3-initial_decoupled-BCE_BCE-deformed-seed42","1082","2026-08-05T08:29:22.000Z","0","98","98","96","0.6646443605422974","0.8225488662719727","0.9612381458282472","0.9612381458282472","42","BCE_BCE","deformed","98","65","0.6632652878761292","1","98","0","0","0","ad23hte9","","scipy","no_gt","always_gt","","true","","35","35"
"ex3-initial_decoupled-BCE_DSDF_MSE-deformed-seed42","986","2026-08-05T08:48:11.000Z","0","98","98","40","0.3679378032684326","0.9298720359802246","0.961692988872528","0.961692988872528","42","BCE_DSDF_MSE","deformed","98","0","0","0","98","0","0","0","y7u20pb9","","scipy","no_gt","always_gt","","true","","30","30"
"ex3-initial_decoupled-UNET-deformed-seed42","403","2026-08-05T08:21:51.000Z","0","98","","","","","","0.961692988872528","42","UNET","deformed","","","","","","","","","fyrk6rmx","","scipy","no_gt","always_gt","","true","","","30"
