"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-BCE_DSDF_MSE-affine-seed42","3310","2026-08-05T12:50:30.000Z","1","99","99","0","0.753775417804718","0.7538641095161438","0.9751721024513244","0.9751721024513244","42","BCE_DSDF_MSE","affine","99","0","0","0","99","1","0.010101010091602802","0.3333333432674408","i1jsndpi","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","147","147"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-affine-seed42","2335","2026-08-05T12:55:29.000Z","2","99","99","0","0.8607468008995056","0.8613079190254211","0.9615471363067628","0.9615471363067628","42","OneSideSDFSquared_OneSideSDFSquared","affine","99","0","0","0","99","2","0.020202020183205605","0","qmjah66l","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","114","114"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-affine-seed42","1538","2026-08-05T12:27:34.000Z","0","99","99","0","0.8324543237686157","0.8329110145568848","0.9759781956672668","0.9759781956672668","42","BCE_OneSideSDFSquared","affine","99","0","0","0","99","0","0","0","ljs4tsfe","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","75","75"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-affine-seed42","1525","2026-08-05T12:58:34.000Z","0","99","99","0","0.8200994729995728","0.8209097981452942","0.96508526802063","0.96508526802063","42","OneSideSDFPlain_OneSideSDFPlain","affine","99","0","0","0","99","0","0","0","it32ine1","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","74","74"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-affine-seed42","1476","2026-08-05T12:29:05.000Z","0","99","99","0","0.8455522060394287","0.8455899357795715","0.9754951000213624","0.9754951000213624","42","BCE_OneSideSDFPlain","affine","99","0","0","0","99","0","0","0","c3olvmv0","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","72","72"
"ex3-initial_decoupled-BCE_CentroidLoss-affine-seed42","1202","2026-08-05T12:34:35.000Z","1","99","99","0","0.7512938976287842","0.750672459602356","0.9758889079093932","0.9758889079093932","42","BCE_CentroidLoss","affine","99","0","0","0","99","1","0.010101010091602802","0.3333333432674408","b7p9l4gv","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","58","58"
"ex3-initial_decoupled-BCE_BlurredLoss-affine-seed42","1190","2026-08-05T12:40:31.000Z","1","99","99","2","0.6784358024597168","0.6782926917076111","0.9758889079093932","0.9758889079093932","42","BCE_BlurredLoss","affine","99","2","0.020202020183205605","0","99","1","0.010101010091602802","0.3333333432674408","7vrb8be8","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","58","58"
"ex3-initial_decoupled-BCE_BCE-affine-seed42","1186","2026-08-05T12:29:55.000Z","1","99","99","0","0.6503828167915344","0.6511327624320984","0.9758889079093932","0.9758889079093932","42","BCE_BCE","affine","99","0","0","0","99","1","0.010101010091602802","0.3333333432674408","n482fjuk","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","58","58"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-affine-seed42","911","2026-08-05T12:54:23.000Z","1","99","99","1","0.8369817733764648","0.8361611366271973","0.9747262597084044","0.9747262597084044","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","affine","99","1","0.010101010091602802","0.3333333432674408","99","1","0.010101010091602802","0.3333333432674408","ia68rsh8","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","42","42"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-affine-seed42","851","2026-08-05T12:54:00.000Z","1","99","99","0","0.2825557589530945","0.2825567424297333","0.9748026728630066","0.9748026728630066","42","BCE_SDFTEMPLATE_MSE","affine","99","0","0","0","99","1","0.010101010091602802","0.3333333432674408","lch6c6wo","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","39","39"
"ex3-initial_decoupled-UNET-affine-seed42","511","2026-08-05T12:19:32.000Z","1","99","","","","","","0.9748026728630066","42","UNET","affine","","","","","","","","","myxyg3e0","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","","39"
