"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-BCE_CentroidLoss-deformed-seed42","3616","2026-08-05T13:46:28.000Z","0","98","98","1","0.5455212593078613","0.9431508779525756","0.9630929827690125","0.9630929827690125","42","BCE_CentroidLoss","deformed","98","98","1","1","98","0","0","0","u77wm5lb","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","116","116"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-deformed-seed42","3487","2026-08-05T14:44:31.000Z","0","98","98","1","0.20936885476112368","0.9495616555213928","0.9395034313201904","0.9395034313201904","42","OneSideSDFSquared_OneSideSDFSquared","deformed","98","98","1","1","98","0","0","0","tfw4xn42","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","112","112"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-deformed-seed42","2834","2026-08-05T14:26:36.000Z","0","98","98","1","0.21645230054855347","0.8967050909996033","0.9629409909248352","0.9629409909248352","42","BCE_SDFTEMPLATE_MSE","deformed","98","98","1","1","98","0","0","0","pxrrdjll","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","91","91"
"ex3-initial_decoupled-BCE_BCE-deformed-seed42","2719","2026-08-05T13:10:29.000Z","0","98","98","86","0.390506386756897","0.9067285656929016","0.9627556800842284","0.9627556800842284","42","BCE_BCE","deformed","98","98","1","1","98","0","0","0","11cw7gee","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","89","89"
"ex3-initial_decoupled-BCE_BlurredLoss-deformed-seed42","2571","2026-08-05T13:47:02.000Z","0","98","98","54","0.30167824029922485","0.9627654552459716","0.9632763266563416","0.9632763266563416","42","BCE_BlurredLoss","deformed","98","98","1","1","98","0","0","0","qxq4bvyy","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","83","83"
"ex3-initial_decoupled-BCE_DSDF_MSE-deformed-seed42","2550","2026-08-05T13:56:36.000Z","0","98","98","0","0.3699303865432739","0.975743055343628","0.9630719423294068","0.9630719423294068","42","BCE_DSDF_MSE","deformed","98","98","1","1","98","0","0","0","ej63m8js","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","80","80"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed42","2226","2026-08-05T13:09:08.000Z","0","98","98","5","0.40930426120758057","0.9506914019584656","0.9628883600234984","0.9628883600234984","42","BCE_OneSideSDFPlain","deformed","98","98","1","1","98","0","0","0","ja77p42h","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","70","70"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-deformed-seed42","1978","2026-08-05T13:07:13.000Z","0","98","98","0","0.5013050436973572","0.944855272769928","0.9630574584007264","0.9630574584007264","42","BCE_OneSideSDFSquared","deformed","98","98","1","1","98","0","0","0","yayf0obh","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","65","65"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-deformed-seed42","1754","2026-08-05T14:47:36.000Z","0","98","98","0","0.4139954745769501","0.9478113055229188","0.9407005906105042","0.9407005906105042","42","OneSideSDFPlain_OneSideSDFPlain","deformed","98","98","1","1","98","0","0","0","em4dijjw","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","54","54"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-deformed-seed42","1744","2026-08-05T14:30:55.000Z","0","98","98","98","0.35509705543518066","0.8478516340255737","0.9625454545021056","0.9625454545021056","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","deformed","98","98","1","1","98","0","0","0","3gpxcu6t","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","55","55"
"ex3-initial_decoupled-UNET-deformed-seed42","316","2026-08-05T13:01:08.000Z","0","98","","","","","","0.963432788848877","42","UNET","deformed","","","","","","","","","qa18kium","","scipy","always_gt","no_gt","","false","newer_decoupled_standard","","23"
