"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-affine-seed42","2388","2026-08-05T09:27:54.000Z","0","99","99","0","0.8323400616645813","0.8303751349449158","0.9754281044006348","0.9754281044006348","42","BCE_OneSideSDFPlain","affine","99","0","0","0","99","0","0","0","nbj5mcpt","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","118","118"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-affine-seed42","2021","2026-08-05T09:53:42.000Z","9","99","99","0","0.8149137496948242","0.8169071078300476","0.9564945697784424","0.9564945697784424","42","OneSideSDFSquared_OneSideSDFSquared","affine","99","1","0.010101010091602802","0.3333333432674408","99","9","0.09090909361839294","0","dvc41jxh","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","98","98"
"ex3-initial_decoupled-BCE_DSDF_MSE-affine-seed42","2007","2026-08-05T09:36:35.000Z","0","99","99","2","0.7245131731033325","0.7242663502693176","0.9750348329544068","0.9750348329544068","42","BCE_DSDF_MSE","affine","99","2","0.020202020183205605","0","99","0","0","0","czpe3664","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","91","91"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-affine-seed42","1870","2026-08-05T09:54:23.000Z","0","99","99","0","0.8450881242752075","0.8455390334129333","0.9666771292686462","0.9666771292686462","42","OneSideSDFPlain_OneSideSDFPlain","affine","99","0","0","0","99","0","0","0","vw96bywa","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","90","90"
"ex3-initial_decoupled-BCE_BCE-affine-seed42","1432","2026-08-05T09:28:56.000Z","1","99","99","0","0.6775393486022949","0.6778876781463623","0.9757606387138368","0.9757606387138368","42","BCE_BCE","affine","99","0","0","0","99","1","0.010101010091602802","0.3333333432674408","brt2k3bz","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","70","70"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-affine-seed42","1354","2026-08-05T09:19:55.000Z","0","99","99","0","0.8284046053886414","0.8288281559944153","0.9760108590126038","0.9760108590126038","42","BCE_OneSideSDFSquared","affine","99","0","0","0","99","0","0","0","419rcgyb","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","66","66"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-affine-seed42","1319","2026-08-05T09:50:59.000Z","1","99","99","0","0.8374512791633606","0.8363693952560425","0.9751386642456056","0.9751386642456056","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","affine","99","0","0","0","99","1","0.010101010091602802","0.3333333432674408","iu6jlo4s","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","62","62"
"ex3-initial_decoupled-BCE_CentroidLoss-affine-seed42","1196","2026-08-05T09:33:31.000Z","1","99","99","1","0.7232752442359924","0.7241398096084595","0.9758889079093932","0.9758889079093932","42","BCE_CentroidLoss","affine","99","1","0.010101010091602802","0.3333333432674408","99","1","0.010101010091602802","0.3333333432674408","llch5cdt","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","58","58"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-affine-seed42","842","2026-08-05T09:43:18.000Z","1","99","99","0","0.282550573348999","0.28255078196525574","0.9748026728630066","0.9748026728630066","42","BCE_SDFTEMPLATE_MSE","affine","99","0","0","0","99","1","0.010101010091602802","0.3333333432674408","rvzb13dx","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","39","39"
"ex3-initial_decoupled-BCE_BlurredLoss-affine-seed42","819","2026-08-05T09:36:20.000Z","1","99","99","2","0.6640149354934692","0.663567304611206","0.9748026728630066","0.9748026728630066","42","BCE_BlurredLoss","affine","99","2","0.020202020183205605","0","99","1","0.010101010091602802","0.3333333432674408","jcfk6zw2","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","39","39"
"ex3-initial_decoupled-UNET-affine-seed42","512","2026-08-05T09:10:30.000Z","1","99","","","","","","0.9748026728630066","42","UNET","affine","","","","","","","","","ukrbppbx","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","","39"
