"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-deformed-seed42","3645","2026-08-05T10:48:26.000Z","0","98","98","1","0.6381783485412598","0.92919260263443","0.9336522221565248","0.9336522221565248","42","OneSideSDFSquared_OneSideSDFSquared","deformed","98","2","0.020408162847161293","0","98","0","0","0","ihl7fd4n","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","119","119"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-deformed-seed42","2775","2026-08-05T10:26:22.000Z","0","98","98","1","0.5415189862251282","0.8953492045402527","0.9630576968193054","0.9630576968193054","42","BCE_SDFTEMPLATE_MSE","deformed","98","2","0.020408162847161293","0","98","0","0","0","55sk4hh6","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","90","90"
"ex3-initial_decoupled-BCE_CentroidLoss-deformed-seed42","2671","2026-08-05T10:13:49.000Z","0","98","98","3","0.6181756854057312","0.9226466417312622","0.9629758596420288","0.9629758596420288","42","BCE_CentroidLoss","deformed","98","57","0.581632673740387","0.5","98","0","0","0","1gbl8gdi","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","88","88"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-deformed-seed42","2643","2026-08-05T10:28:04.000Z","0","98","98","87","0.6051414012908936","0.9259576797485352","0.9626688361167908","0.9626688361167908","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","deformed","98","46","0.4693877696990967","0","98","0","0","0","4mlczlvp","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","84","84"
"ex3-initial_decoupled-BCE_BCE-deformed-seed42","2416","2026-08-05T10:10:45.000Z","0","98","98","96","0.5099030137062073","0.8295968770980835","0.9629887938499452","0.9629887938499452","42","BCE_BCE","deformed","98","98","1","1","98","0","0","0","p66vg3bv","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","79","79"
"ex3-initial_decoupled-BCE_DSDF_MSE-deformed-seed42","2213","2026-08-05T10:25:19.000Z","0","98","98","0","0.6305564641952515","0.9568139910697936","0.9630531668663024","0.9630531668663024","42","BCE_DSDF_MSE","deformed","98","16","0.16326530277729034","0.5","98","0","0","0","p4r9lyf0","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","69","69"
"ex3-initial_decoupled-BCE_BlurredLoss-deformed-seed42","1412","2026-08-05T10:23:59.000Z","0","98","98","3","0.5684918165206909","0.9471967220306396","0.96232807636261","0.96232807636261","42","BCE_BlurredLoss","deformed","98","17","0.1734693944454193","0","98","0","0","0","nxmdxs0i","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","46","46"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-deformed-seed42","1172","2026-08-05T11:12:52.000Z","0","98","98","1","0.6478296518325806","0.939937174320221","0.9444679617881776","0.9444679617881776","42","OneSideSDFPlain_OneSideSDFPlain","deformed","98","16","0.16326530277729034","0.5","98","0","0","0","h5edc6qj","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","37","37"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-deformed-seed42","1143","2026-08-05T10:03:59.000Z","0","98","98","3","0.62220299243927","0.9342361092567444","0.9631261229515076","0.9631261229515076","42","BCE_OneSideSDFSquared","deformed","98","22","0.22448979318141937","0.5","98","0","0","0","0w1xgys2","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","37","37"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed42","966","2026-08-05T10:08:26.000Z","0","98","98","2","0.6171135306358337","0.9346084594726562","0.9634053707122804","0.9634053707122804","42","BCE_OneSideSDFPlain","deformed","98","1","0.010204081423580648","0","98","0","0","0","mszvp414","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","31","31"
"ex3-initial_decoupled-UNET-deformed-seed42","310","2026-08-05T09:58:07.000Z","0","98","","","","","","0.963432788848877","42","UNET","deformed","","","","","","","","","tio2s3gr","","scipy","no_gt","always_gt","","false","learned_segmentator_coupled","","23"
