"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-both-calc-seed42","2279","2026-08-05T15:35:35.000Z","16","97","97","19","0.9017117619514464","0.9307678937911988","0.942626953125","0.942626953125","42","OneSideSDFPlain_OneSideSDFPlain","both","97","15","0.15463916957378387","1","97","16","0.1649484485387802","0","vk3apl02","","scipy","always_gt","no_gt","calc","false","aff_def_calc","75","75"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-both-calc-seed42","1601","2026-08-05T15:04:58.000Z","24","97","97","20","0.9153491854667664","0.9231292605400084","0.960806131362915","0.960806131362915","42","BCE_OneSideSDFPlain","both","97","19","0.19587628543376925","1","97","24","0.24742268025875092","0","04z0atxs","","scipy","always_gt","no_gt","calc","false","aff_def_calc","52","52"
"ex3-initial_decoupled-BCE_DSDF_MSE-both-calc-seed42","2851","2026-08-05T15:25:54.000Z","23","97","97","35","0.8913792371749878","0.9025335907936096","0.9612975120544434","0.9612975120544434","42","BCE_DSDF_MSE","both","97","34","0.3505154550075531","1","97","23","0.23711340129375455","0","4nqu3mui","","scipy","always_gt","no_gt","calc","false","aff_def_calc","91","91"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-both-calc-seed42","3678","2026-08-05T15:32:24.000Z","17","97","97","93","0.739284336566925","0.7500970363616943","0.9379567503929138","0.9379567503929138","42","OneSideSDFSquared_OneSideSDFSquared","both","97","91","0.938144326210022","1","97","17","0.17525772750377655","0","4vxhl05w","","scipy","always_gt","no_gt","calc","false","aff_def_calc","118","118"
"ex3-initial_decoupled-BCE_BCE-both-calc-seed42","1192","2026-08-05T15:05:00.000Z","23","97","97","97","0.6872325539588928","0.6903292536735535","0.9593363404273988","0.9593363404273988","42","BCE_BCE","both","97","96","0.9896907210350036","1","97","23","0.23711340129375455","0","mgg8qo91","","scipy","always_gt","no_gt","calc","false","aff_def_calc","38","38"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-both-calc-seed42","1627","2026-08-05T15:27:35.000Z","23","97","97","92","0.6709587574005127","0.6702799797058105","0.9602057933807372","0.9602057933807372","42","BCE_SDFTEMPLATE_MSE","both","97","87","0.8969072103500366","0","97","23","0.23711340129375455","0","lxdl3mu7","","scipy","always_gt","no_gt","calc","false","aff_def_calc","52","52"
"ex3-initial_decoupled-BCE_CentroidLoss-both-deep-seed42","6502","2026-08-05T16:01:16.000Z","21","97","97","55","0.6337103843688965","0.634390115737915","0.9614341855049132","0.9614341855049132","42","BCE_CentroidLoss","both","97","63","0.6494845151901245","1","97","21","0.2164948433637619","0","ak6ycc71","","scipy","always_gt","no_gt","deep","false","aff_def_deep","180","180"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-both-calc-seed42","915","2026-08-05T15:29:56.000Z","22","97","97","97","0.6201728582382202","0.6212335824966431","0.960704743862152","0.960704743862152","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","both","97","97","1","1","97","22","0.22680412232875824","0","wb2xwzn9","","scipy","always_gt","no_gt","calc","false","aff_def_calc","28","28"
"ex3-initial_decoupled-BCE_CentroidLoss-both-calc-seed42","868","2026-08-05T15:14:35.000Z","22","97","97","2","0.6150456666946411","0.6145103573799133","0.960704743862152","0.960704743862152","42","BCE_CentroidLoss","both","97","2","0.020618556067347527","0","97","22","0.22680412232875824","0","ppldeco4","","scipy","always_gt","no_gt","calc","false","aff_def_calc","28","28"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-both-deep-seed42","1163","2026-08-05T16:14:26.000Z","26","97","97","90","0.3169599175453186","0.3171398639678955","0.960263729095459","0.960263729095459","42","BCE_SDFTEMPLATE_MSE","both","97","90","0.9278350472450256","1","97","26","0.2680412232875824","0","x1yo0k4l","","scipy","always_gt","no_gt","deep","false","aff_def_deep","31","31"
